Pop,Week,N,K,Hdata,Idata
3,8,20,2,0.1,0.9
3,8,20,6,0.3,0.7
3,8,20,7,0.35,0.65
3,8,21,0,0,1
3,8,20,5,0.25,0.75
3,9,19,19,1,0
3,9,19,19,1,0
3,9,20,19,0.95,0.05
3,9,20,20,1,0
3,9,20,20,1,0
3,10,19,19,1,0
3,10,20,20,1,0
3,10,20,20,1,0
3,10,18,18,1,0
4,0,16,6,0.375,0.625
4,0,19,19,1,0
4,0,18,15,0.833333333,0.166666667
4,1,8,8,1,0
4,1,10,10,1,0
4,1,7,7,1,0
4,1,7,7,1,0
4,1,5,5,1,0
4,2,10,10,1,0
4,2,12,12,1,0
4,2,12,12,1,0
4,2,11,11,1,0
4,4,18,18,1,0
4,4,17,13,0.764705882,0.235294118
4,4,12,6,0.5,0.5
4,4,14,14,1,0
4,4,14,14,1,0
4,5,16,14,0.875,0.125
4,5,15,11,0.733333333,0.266666667
4,5,17,16,0.941176471,0.058823529
4,5,15,6,0.4,0.6
4,5,19,14,0.736842105,0.263157895
4,6,17,17,1,0
4,6,19,19,1,0
4,6,21,21,1,0
4,6,16,16,1,0
4,6,17,17,1,0
4,7,21,21,1,0
4,7,22,22,1,0
4,7,21,21,1,0
4,7,21,21,1,0
4,7,21,21,1,0
4,8,22,22,1,0
4,8,26,26,1,0
4,8,21,21,1,0
4,8,22,22,1,0
4,8,25,25,1,0
4,9,24,24,1,0
4,9,23,23,1,0
4,9,25,25,1,0
4,10,24,24,1,0
4,10,24,24,1,0
4,10,25,25,1,0
4,10,25,25,1,0
4,10,25,25,1,0
5,1,23,23,1,0
5,1,25,25,1,0
5,1,22,22,1,0
5,1,24,24,1,0
5,1,22,22,1,0
5,2,25,25,1,0
5,2,21,21,1,0
5,2,27,27,1,0
5,2,22,22,1,0
5,2,24,24,1,0
5,3,15,15,1,0
5,3,22,22,1,0
5,3,27,27,1,0
5,4,25,25,1,0
5,4,25,10,0.4,0.6
5,4,24,17,0.708333333,0.291666667
5,4,24,19,0.791666667,0.208333333
5,4,25,22,0.88,0.12
5,5,24,23,0.958333333,0.041666667
5,5,25,24,0.96,0.04
5,5,25,25,1,0
5,5,16,16,1,0
5,5,25,24,0.96,0.04
5,6,24,24,1,0
5,6,25,25,1,0
5,6,24,24,1,0
5,6,27,27,1,0
5,6,25,25,1,0
5,7,24,24,1,0
5,7,24,24,1,0
5,7,24,24,1,0
5,7,24,24,1,0
5,7,25,25,1,0
5,8,24,24,1,0
5,8,3,3,1,0
5,8,25,25,1,0
5,8,17,17,1,0
5,9,24,24,1,0
5,9,25,25,1,0
5,9,25,25,1,0
5,10,25,25,1,0
5,10,24,24,1,0
5,10,24,24,1,0
5,10,25,25,1,0
5,10,23,23,1,0
6,1,19,19,1,0
6,1,20,20,1,0
6,1,19,19,1,0
6,1,20,20,1,0
6,1,20,20,1,0
6,2,25,25,1,0
6,2,21,21,1,0
6,2,22,22,1,0
6,2,23,23,1,0
6,2,24,24,1,0
6,3,24,24,1,0
6,3,25,24,0.96,0.04
6,3,25,25,1,0
6,3,25,25,1,0
6,3,26,26,1,0
6,4,23,23,1,0
6,4,25,25,1,0
6,4,22,22,1,0
6,4,25,21,0.84,0.16
6,4,24,24,1,0
6,5,25,25,1,0
6,5,25,25,1,0
6,5,24,24,1,0
6,5,25,25,1,0
6,5,25,25,1,0
6,6,25,25,1,0
6,6,23,22,0.956521739,0.043478261
6,6,23,23,1,0
6,6,25,25,1,0
6,6,21,18,0.857142857,0.142857143
6,7,24,24,1,0
6,7,23,23,1,0
6,7,20,20,1,0
6,7,25,25,1,0
6,7,22,22,1,0
6,8,24,24,1,0
6,8,23,23,1,0
6,8,26,26,1,0
6,8,25,25,1,0
6,8,25,25,1,0
6,9,22,22,1,0
6,9,24,24,1,0
6,9,24,24,1,0
6,9,24,24,1,0
6,10,19,19,1,0
6,10,20,20,1,0
6,10,18,18,1,0
6,10,20,20,1,0
6,10,18,18,1,0
7,0,18,11,0.611111111,0.388888889
7,0,14,14,1,0
7,0,13,13,1,0
7,0,15,15,1,0
7,1,9,9,1,0
7,1,8,8,1,0
7,1,9,9,1,0
7,1,9,9,1,0
7,2,12,12,1,0
7,2,11,11,1,0
7,2,13,13,1,0
7,2,1,1,1,0
7,3,19,19,1,0
7,3,20,20,1,0
7,3,19,19,1,0
7,3,19,19,1,0
7,3,20,20,1,0
7,4,16,16,1,0
7,4,14,14,1,0
7,4,16,16,1,0
7,4,12,12,1,0
7,5,24,24,1,0
7,5,21,21,1,0
7,5,24,24,1,0
7,5,19,19,1,0
7,5,24,24,1,0
7,6,23,23,1,0
7,6,23,23,1,0
7,6,20,20,1,0
7,6,23,23,1,0
7,6,1,1,1,0
8,0,19,19,1,0
8,0,16,16,1,0
8,0,13,13,1,0
8,0,14,14,1,0
8,0,19,19,1,0
8,1,15,15,1,0
8,1,13,13,1,0
8,1,12,12,1,0
8,1,12,12,1,0
8,1,11,11,1,0
8,2,17,17,1,0
8,2,12,12,1,0
8,2,11,11,1,0
8,3,11,11,1,0
8,3,11,11,1,0
8,3,14,14,1,0
8,3,11,11,1,0
8,3,11,11,1,0
8,4,22,22,1,0
8,4,17,17,1,0
8,4,16,16,1,0
8,4,19,19,1,0
8,4,19,19,1,0
8,5,11,11,1,0
8,5,13,13,1,0
8,5,14,14,1,0
8,5,14,14,1,0
8,5,10,10,1,0
8,6,2,2,1,0
8,6,13,13,1,0
8,6,8,8,1,0
8,6,14,14,1,0
8,7,22,22,1,0
8,7,21,21,1,0
8,7,17,17,1,0
8,7,25,25,1,0
8,7,19,19,1,0
8,8,19,19,1,0
8,8,25,25,1,0
8,8,21,21,1,0
8,8,21,21,1,0
8,9,24,24,1,0
8,9,25,25,1,0
8,9,12,12,1,0
8,9,25,25,1,0
8,10,25,25,1,0
8,10,25,25,1,0
8,10,25,25,1,0
8,10,24,24,1,0
8,10,23,23,1,0
